"House Price Index by region; existing own homes; 2010 = 100 1995-2017"
"";"Subjects";"Price index purchase prices";"Price index purchase prices";"Price index purchase prices";"Number of sold dwellings";"Number of sold dwellings";"Number of sold dwellings"
"";"Subjects";"Price index of existing own homes";"Changes compared to one period earlier";"Changes compared to one year earlier";"Number of dwellings sold";"Changes compared to one period earlier";"Changes compared to one year earlier"
"Regions";"Periods";"2010 = 100";"%";"%";"number";"%";"%"
"Groningen (PV)";"2015 1st quarter";"86.6";"1.2";"2.7";"1054";"-36.7";"20.2"
"Groningen (PV)";"2015 2nd quarter";"87.6";"1.2";"2.6";"1237";"17.4";"26.0"
"Groningen (PV)";"2015 3rd quarter";"87.7";"0.1";"2.7";"1527";"23.4";"24.7"
"Groningen (PV)";"2015 4th quarter";"88.0";"0.3";"3.0";"1602";"4.9";"-3.7"
"Groningen (PV)";"2015";"87.5";"2.7";"2.7";"5420";"14.2";"14.2"
"Groningen (PV)";"2016 1st quarter";"88.9";"1.0";"2.7";"1304";"-18.6";"23.7"
"Groningen (PV)";"2016 2nd quarter";"89.7";"0.9";"2.4";"1558";"19.5";"26.0"
"Groningen (PV)";"2016 3rd quarter";"93.7";"4.4";"6.7";"1825";"17.1";"19.5"
"Groningen (PV)";"2016 4th quarter";"94.0";"0.4";"6.8";"1748";"-4.2";"9.1"
"Groningen (PV)";"2016";"91.6";"4.7";"4.7";"6435";"18.7";"18.7"
"Groningen (PV)";"2017 1st quarter";"94.4";"0.4";"6.1";"1647";"-5.8";"26.3"
"Groningen (PV)";"2017 2nd quarter";"95.4";"1.1";"6.3";"1737";"5.5";"11.5"
"Groningen (PV)";"2017 3rd quarter";"98.2";"2.9";"4.8";"1908";"9.8";"4.5"
"Groningen (PV)";"2017 4th quarter";"99.1";"1.0";"5.4";"2005";"5.1";"14.7"
"Groningen (PV)";"2017";"96.8";"5.7";"5.7";"7297";"13.4";"13.4"
"Friesland (PV)";"1995 1st quarter";"33.6";" ";" ";"1294";" ";" "
"Friesland (PV)";"1995 2nd quarter";"34.5";"2.7";" ";"1705";"31.8";" "
"Friesland (PV)";"1995 3rd quarter";"35.1";"1.6";" ";"1710";"0.3";" "
"Friesland (PV)";"1995 4th quarter";"36.4";"3.8";" ";"2147";"25.6";" "
"Friesland (PV)";"1995";"34.9";" ";" ";"6856";" ";" "
"Friesland (PV)";"1996 1st quarter";"37.3";"2.5";"11.1";"1500";"-30.1";"15.9"
"Friesland (PV)";"1996 2nd quarter";"39.5";"5.8";"14.3";"2098";"39.9";"23.1"
"Friesland (PV)";"1996 3rd quarter";"40.6";"2.9";"15.7";"1961";"-6.5";"14.7"
"Friesland (PV)";"1996 4th quarter";"41.4";"2.0";"13.8";"2084";"6.3";"-2.9"
"Friesland (PV)";"1996";"39.7";"13.7";"13.7";"7643";"11.5";"11.5"
"Friesland (PV)";"1997 1st quarter";"41.3";"-0.3";"10.7";"1468";"-29.6";"-2.1"
"Friesland (PV)";"1997 2nd quarter";"43.5";"5.3";"10.2";"2057";"40.1";"-2.0"
"Friesland (PV)";"1997 3rd quarter";"44.0";"1.2";"8.4";"1950";"-5.2";"-0.6"
